wavelength,normalized_radiation_A,normalized_radiation_B,normalized_radiation_C
29570,,,5.65E-05
29580,,,5.64E-05
29590,,,5.63E-05
29600,,,5.63E-05
29610,,,5.62E-05
29620,,,5.62E-05
29630,,,5.61E-05
29640,,,5.60E-05
29650,,,5.60E-05
29660,,,5.59E-05
29670,,,5.59E-05
29680,,,5.58E-05
29690,,,5.57E-05
29700,,,5.57E-05
29710,,,5.56E-05
29720,,,5.56E-05
29730,,,5.55E-05
29740,,,5.54E-05
29750,,,5.54E-05
29760,,,5.53E-05
29770,,,5.53E-05
29780,,,5.52E-05
29790,,,5.51E-05
29800,,,5.51E-05
29810,,,5.50E-05
29820,,,5.50E-05
29830,,,5.49E-05
29840,,,5.48E-05
29850,,,5.48E-05
29860,,,5.47E-05
29870,,,5.47E-05
29880,,,5.46E-05
29890,,,5.45E-05
29900,,,5.45E-05
29910,,,5.44E-05
29920,,,5.44E-05
29930,,,5.43E-05
29940,,,5.43E-05
29950,,,5.42E-05
29960,,,5.41E-05
29970,,,5.41E-05
29980,,,5.40E-05
29990,,,5.40E-05
30000,,,5.39E-05
30010,,,5.39E-05
30020,,,5.38E-05
30030,,,5.37E-05
30040,,,5.37E-05
30050,,,5.36E-05
30060,,,5.36E-05
30070,,,5.35E-05
30080,,,5.34E-05
30090,,,5.34E-05
30100,,,5.33E-05
30110,,,5.33E-05
30120,,,5.32E-05
30130,,,5.32E-05
30140,,,5.31E-05
30150,,,5.30E-05
30160,,,5.30E-05
30170,,,5.29E-05
30180,,,5.29E-05
30190,,,5.28E-05
30200,,,5.28E-05
30210,,,5.27E-05
30220,,,5.27E-05
30230,,,5.26E-05
30240,,,5.25E-05
30250,,,5.25E-05
30260,,,5.24E-05
30270,,,5.24E-05
30280,,,5.23E-05
30290,,,5.23E-05
30300,,,5.22E-05
30310,,,5.21E-05
30320,,,5.21E-05
30330,,,5.20E-05
30340,,,5.20E-05
30350,,,5.19E-05
30360,,,5.19E-05
30370,,,5.18E-05
30380,,,5.18E-05
30390,,,5.17E-05
30400,,,5.17E-05
30410,,,5.16E-05
30420,,,5.15E-05
30430,,,5.15E-05
30440,,,5.14E-05
30450,,,5.14E-05
30460,,,5.13E-05
30470,,,5.13E-05
30480,,,5.12E-05
30490,,,5.12E-05
30500,,,5.11E-05
30510,,,5.11E-05
30520,,,5.10E-05
30530,,,5.09E-05
30540,,,5.09E-05
30550,,,5.08E-05
30560,,,5.08E-05
30570,,,5.07E-05
30580,,,5.07E-05
30590,,,5.06E-05
30600,,,5.06E-05
30610,,,5.05E-05
30620,,,5.05E-05
30630,,,5.04E-05
30640,,,5.04E-05
30650,,,5.03E-05
30660,,,5.02E-05
30670,,,5.02E-05
30680,,,5.01E-05
30690,,,5.01E-05
30700,,,5.00E-05
30710,,,5.00E-05
30720,,,4.99E-05
30730,,,4.99E-05
30740,,,4.98E-05
30750,,,4.98E-05
30760,,,4.97E-05
30770,,,4.97E-05
30780,,,4.96E-05
30790,,,4.96E-05
30800,,,4.95E-05
30810,,,4.95E-05
30820,,,4.94E-05
30830,,,4.94E-05
30840,,,4.93E-05
30850,,,4.93E-05
30860,,,4.92E-05
30870,,,4.91E-05
30880,,,4.91E-05
30890,,,4.90E-05
30900,,,4.90E-05
30910,,,4.89E-05
30920,,,4.89E-05
30930,,,4.88E-05
30940,,,4.88E-05
30950,,,4.87E-05
30960,,,4.87E-05
30970,,,4.86E-05
30980,,,4.86E-05
30990,,,4.85E-05
31000,,,4.85E-05
31010,,,4.84E-05
31020,,,4.84E-05
31030,,,4.83E-05
31040,,,4.83E-05
31050,,,4.82E-05
31060,,,4.82E-05
31070,,,4.81E-05
31080,,,4.81E-05
31090,,,4.80E-05
31100,,,4.80E-05
31110,,,4.79E-05
31120,,,4.79E-05
31130,,,4.78E-05
31140,,,4.78E-05
31150,,,4.77E-05
31160,,,4.77E-05
31170,,,4.76E-05
31180,,,4.76E-05
31190,,,4.75E-05
31200,,,4.75E-05
31210,,,4.74E-05
31220,,,4.74E-05
31230,,,4.73E-05
31240,,,4.73E-05
31250,,,4.72E-05
31260,,,4.72E-05
31270,,,4.71E-05
31280,,,4.71E-05
31290,,,4.70E-05
31300,,,4.70E-05
31310,,,4.69E-05
31320,,,4.69E-05
31330,,,4.68E-05
31340,,,4.68E-05
31350,,,4.67E-05
31360,,,4.67E-05
31370,,,4.66E-05
31380,,,4.66E-05
31390,,,4.65E-05
31400,,,4.65E-05
31410,,,4.64E-05
31420,,,4.64E-05
31430,,,4.64E-05
31440,,,4.63E-05
31450,,,4.63E-05
31460,,,4.62E-05
31470,,,4.62E-05
31480,,,4.61E-05
31490,,,4.61E-05
31500,,,4.60E-05
31510,,,4.60E-05
31520,,,4.59E-05
31530,,,4.59E-05
31540,,,4.58E-05
31550,,,4.58E-05
31560,,,4.57E-05
31570,,,4.57E-05
31580,,,4.56E-05
31590,,,4.56E-05
31600,,,4.55E-05
31610,,,4.55E-05
31620,,,4.54E-05
31630,,,4.54E-05
31640,,,4.54E-05
31650,,,4.53E-05
31660,,,4.53E-05
31670,,,4.52E-05
31680,,,4.52E-05
31690,,,4.51E-05
31700,,,4.51E-05
31710,,,4.50E-05
31720,,,4.50E-05
31730,,,4.49E-05
31740,,,4.49E-05
31750,,,4.48E-05
31760,,,4.48E-05
31770,,,4.48E-05
31780,,,4.47E-05
31790,,,4.47E-05
31800,,,4.46E-05
31810,,,4.46E-05
31820,,,4.45E-05
31830,,,4.45E-05
31840,,,4.44E-05
31850,,,4.44E-05
31860,,,4.43E-05
31870,,,4.43E-05
31880,,,4.42E-05
31890,,,4.42E-05
31900,,,4.42E-05
31910,,,4.41E-05
31920,,,4.41E-05
31930,,,4.40E-05
31940,,,4.40E-05
31950,,,4.39E-05
31960,,,4.39E-05
31970,,,4.38E-05
31980,,,4.38E-05
31990,,,4.38E-05
32000,,,4.37E-05
32010,,,4.37E-05
32020,,,4.36E-05
32030,,,4.36E-05
32040,,,4.35E-05
32050,,,4.35E-05
32060,,,4.34E-05
32070,,,4.34E-05
32080,,,4.34E-05
32090,,,4.33E-05
32100,,,4.33E-05
32110,,,4.32E-05
32120,,,4.32E-05
32130,,,4.31E-05
32140,,,4.31E-05
32150,,,4.30E-05
32160,,,4.30E-05
32170,,,4.30E-05
32180,,,4.29E-05
32190,,,4.29E-05
32200,,,4.28E-05
32210,,,4.28E-05
32220,,,4.27E-05
32230,,,4.27E-05
32240,,,4.26E-05
32250,,,4.26E-05
32260,,,4.26E-05
32270,,,4.25E-05
32280,,,4.25E-05
32290,,,4.24E-05
32300,,,4.24E-05
32310,,,4.23E-05
32320,,,4.23E-05
32330,,,4.23E-05
32340,,,4.22E-05
32350,,,4.22E-05
32360,,,4.21E-05
